year,state,u5_pop
2000,Andaman & Nicobar Islands,36474.17969
2001,Andaman & Nicobar Islands,36380.21094
2002,Andaman & Nicobar Islands,36166.29297
2003,Andaman & Nicobar Islands,35867.13672
2004,Andaman & Nicobar Islands,35526.53906
2005,Andaman & Nicobar Islands,35183.48047
2006,Andaman & Nicobar Islands,34885.48828
2007,Andaman & Nicobar Islands,34517.50781
2008,Andaman & Nicobar Islands,34095.71484
2009,Andaman & Nicobar Islands,33621.21484
2010,Andaman & Nicobar Islands,33101.04297
2011,Andaman & Nicobar Islands,32576.52734
2012,Andaman & Nicobar Islands,31964.71875
2013,Andaman & Nicobar Islands,31316.98047
2014,Andaman & Nicobar Islands,30711.73633
2015,Andaman & Nicobar Islands,30201.32617
2000,Andhra Pradesh,7787444
2001,Andhra Pradesh,7783953
2002,Andhra Pradesh,7754692
2003,Andhra Pradesh,7706955.5
2004,Andhra Pradesh,7650056
2005,Andhra Pradesh,7592347.5
2006,Andhra Pradesh,7544104.5
2007,Andhra Pradesh,7480452.5
2008,Andhra Pradesh,7404808.5
2009,Andhra Pradesh,7317336.5
2010,Andhra Pradesh,7219496
2011,Andhra Pradesh,7120255.5
2012,Andhra Pradesh,7001438
2013,Andhra Pradesh,6874194.5
2014,Andhra Pradesh,6755724
2015,Andhra Pradesh,6657621.5
2000,Arunachal Pradesh,159031.9063
2001,Arunachal Pradesh,160518.4844
2002,Arunachal Pradesh,161482.2656
2003,Arunachal Pradesh,162061.0156
2004,Arunachal Pradesh,162441.0625
2005,Arunachal Pradesh,162795.625
2006,Arunachal Pradesh,163346.4844
2007,Arunachal Pradesh,163555.5781
2008,Arunachal Pradesh,163488.3594
2009,Arunachal Pradesh,163140.375
2010,Arunachal Pradesh,162536.4531
2011,Arunachal Pradesh,161873.1875
2012,Arunachal Pradesh,160731.8906
2013,Arunachal Pradesh,159357.3438
2014,Arunachal Pradesh,158145.7813
2015,Arunachal Pradesh,157376.6406
2000,Assam,3492898.5
2001,Assam,3533097.25
2002,Assam,3561921.5
2003,Assam,3582341.5
2004,Assam,3598430.5
2005,Assam,3614007
2006,Assam,3634000.25
2007,Assam,3646443.25
2008,Assam,3652749
2009,Assam,3652779
2010,Assam,3647049.25
2011,Assam,3639943.5
2012,Assam,3622019
2013,Assam,3598733.25
2014,Assam,3579019.75
2015,Assam,3569239.5
2000,Bihar,12556001
2001,Bihar,12816595
2002,Bihar,13039263
2003,Bihar,13233886
2004,Bihar,13414830
2005,Bihar,13596047
2006,Bihar,13796225
2007,Bihar,13970002
2008,Bihar,14122075
2009,Bihar,14251275
2010,Bihar,14358981
2011,Bihar,14461999
2012,Bihar,14522322
2013,Bihar,14560847
2014,Bihar,14613449
2015,Bihar,14706726
2000,Chandigarh,91432.89063
2001,Chandigarh,92257.67969
2002,Chandigarh,92781.57813
2003,Chandigarh,93083.97656
2004,Chandigarh,93272.05469
2005,Chandigarh,93445.38281
2006,Chandigarh,93731.22656
2007,Chandigarh,93820.83594
2008,Chandigarh,93751.91406
2009,Chandigarh,93522.08594
2010,Chandigarh,93145.71094
2011,Chandigarh,92735.58594
2012,Chandigarh,92051.94531
2013,Chandigarh,91235.1875
2014,Chandigarh,90512.23438
2015,Chandigarh,90042.88281
2000,Chhattisgarh,2830184.25
2001,Chhattisgarh,2856470.25
2002,Chhattisgarh,2873451
2003,Chhattisgarh,2883578.5
2004,Chhattisgarh,2890169.5
2005,Chhattisgarh,2896306.5
2006,Chhattisgarh,2905934.25
2007,Chhattisgarh,2909482
2008,Chhattisgarh,2908113.75
2009,Chhattisgarh,2901752
2010,Chhattisgarh,2890838.75
2011,Chhattisgarh,2878871.5
2012,Chhattisgarh,2858404.5
2013,Chhattisgarh,2833792
2014,Chhattisgarh,2812080.75
2015,Chhattisgarh,2798238.5
2000,Dadra & Nagar Haveli,33333.37891
2001,Dadra & Nagar Haveli,34260.81641
2002,Dadra & Nagar Haveli,35097.42578
2003,Dadra & Nagar Haveli,35867.96094
2004,Dadra & Nagar Haveli,36610.15625
2005,Dadra & Nagar Haveli,37361.66797
2006,Dadra & Nagar Haveli,38174.28906
2007,Dadra & Nagar Haveli,38922.81641
2008,Dadra & Nagar Haveli,39618.99219
2009,Dadra & Nagar Haveli,40258.32813
2010,Dadra & Nagar Haveli,40843.48438
2011,Dadra & Nagar Haveli,41421.38281
2012,Dadra & Nagar Haveli,41882.19531
2013,Dadra & Nagar Haveli,42284.10156
2014,Dadra & Nagar Haveli,42730.73438
2015,Dadra & Nagar Haveli,43301.28125
2000,Daman & Diu,16894.75391
2001,Daman & Diu,17417.45898
2002,Daman & Diu,17896.85938
2003,Daman & Diu,18345.21289
2004,Daman & Diu,18781.58203
2005,Daman & Diu,19225.21875
2006,Daman & Diu,19702.91797
